interrupts.0:IO-APIC.2-edge.timer,0
interrupts.CPU2.1:IO-APIC.1-edge.i8042,0
interrupts.1:IO-APIC.1-edge.i8042,0
interrupts.CPU1.12:IO-APIC.12-edge.i8042,0
interrupts.12:IO-APIC.12-edge.i8042,0
interrupts.CPU3.15:IO-APIC.15-edge.ata_piix,188
interrupts.15:IO-APIC.15-edge.ata_piix,188
interrupts.CPU1.18:IO-APIC.18-fasteoi.vmwgfx,3
interrupts.CPU2.18:IO-APIC.18-fasteoi.vmwgfx,0
interrupts.18:IO-APIC.18-fasteoi.vmwgfx,3
interrupts.CPU3.19:IO-APIC.19-fasteoi.enp0s3,259
interrupts.19:IO-APIC.19-fasteoi.enp0s3,259
interrupts.CPU1.20:IO-APIC.20-fasteoi.vboxguest,0
interrupts.20:IO-APIC.20-fasteoi.vboxguest,0
interrupts.CPU0.21:IO-APIC.21-fasteoi.ahci[0000:00:0d.0],snd_intel8x0,0
interrupts.CPU2.21:IO-APIC.21-fasteoi.ahci[0000:00:0d.0],snd_intel8x0,93997
interrupts.21:IO-APIC.21-fasteoi.ahci[0000:00:0d.0],snd_intel8x0,93997
interrupts.CPU0.22:IO-APIC.22-fasteoi.ohci_hcd:usb1,0
interrupts.22:IO-APIC.22-fasteoi.ohci_hcd:usb1,0
interrupts.CPU0.LOC:Local_timer_interrupts,37524
interrupts.CPU1.LOC:Local_timer_interrupts,36638
interrupts.CPU2.LOC:Local_timer_interrupts,39102
interrupts.CPU3.LOC:Local_timer_interrupts,32330
interrupts.LOC:Local_timer_interrupts,145594
interrupts.CPU0.RES:Rescheduling_interrupts,36436
interrupts.CPU1.RES:Rescheduling_interrupts,37689
interrupts.CPU2.RES:Rescheduling_interrupts,29710
interrupts.CPU3.RES:Rescheduling_interrupts,35946
interrupts.RES:Rescheduling_interrupts,139781
interrupts.CPU0.CAL:Function_call_interrupts,85773
interrupts.CPU1.CAL:Function_call_interrupts,61113
interrupts.CPU2.CAL:Function_call_interrupts,73526
interrupts.CPU3.CAL:Function_call_interrupts,62267
interrupts.CAL:Function_call_interrupts,282679
interrupts.CPU0.TLB:TLB_shootdowns,116
interrupts.CPU1.TLB:TLB_shootdowns,202
interrupts.CPU2.TLB:TLB_shootdowns,209
interrupts.CPU3.TLB:TLB_shootdowns,148
interrupts.TLB:TLB_shootdowns,675
interrupts.CPU0.MCP:Machine_check_polls,1
interrupts.CPU1.MCP:Machine_check_polls,1
interrupts.CPU2.MCP:Machine_check_polls,1
interrupts.CPU3.MCP:Machine_check_polls,1
interrupts.MCP:Machine_check_polls,4
time.user_time,2.93
time.system_time,23.92
time.percent_of_cpu_this_job_got,14
time.elapsed_time,188.17
time.elapsed_time.max,188.17
time.maximum_resident_set_size,3208
time.minor_page_faults,44849
time.voluntary_context_switches,388128
time.involuntary_context_switches,40261
time.file_system_inputs,4824
time.file_system_outputs,819480
time.page_size,4096
dmesg.timestamp:last,4934.963682
vmstat.procs.r,1
vmstat.procs.b,6
vmstat.memory.free,10784515
vmstat.memory.buff,353764
vmstat.memory.cache,4477608
vmstat.io.bi,12
vmstat.io.bo,17012
vmstat.system.in,3489
vmstat.system.cs,5647
vmstat.cpu.us,1
vmstat.cpu.sy,7
vmstat.cpu.id,34
vmstat.cpu.wa,57
iostat.cpu.user,1.411315789473684
iostat.cpu.nice,0.00047368421052631577
iostat.cpu.system,7.535105263157895
iostat.cpu.iowait,57.08247368421053
iostat.cpu.idle,33.97042105263158
proc-vmstat.nr_free_pages,2696258
proc-vmstat.nr_zone_inactive_anon,2396
proc-vmstat.nr_zone_active_anon,155427
proc-vmstat.nr_zone_inactive_file,805532
proc-vmstat.nr_zone_active_file,273597
proc-vmstat.nr_zone_unevictable,8
proc-vmstat.nr_zone_write_pending,1015
proc-vmstat.nr_mlock,8
proc-vmstat.nr_page_table_pages,8005
proc-vmstat.nr_kernel_stack,8567
proc-vmstat.numa_hit,660831
proc-vmstat.numa_interleave,0
proc-vmstat.numa_local,660831
proc-vmstat.nr_inactive_anon,2396
proc-vmstat.nr_active_anon,155427
proc-vmstat.nr_inactive_file,805532
proc-vmstat.nr_active_file,273597
proc-vmstat.nr_unevictable,8
proc-vmstat.nr_slab_reclaimable,125896
proc-vmstat.nr_slab_unreclaimable,12350
proc-vmstat.nr_anon_pages,155210
proc-vmstat.nr_mapped,58382
proc-vmstat.nr_file_pages,1081755
proc-vmstat.nr_dirty,1014
